1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1
1,1,1,1,1,1,7,7,1,7,1,1,1,12,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1
1,1,1,15,9,1,1,1,1,1,9,1,1,15,1,1,1,1
1,1,1,9,9,1,1,1,1,8,10,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,9,11,12,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
